parameter,value,race_time,P1,P2,P3,P4,first_half_frac,shape_spread,v1,k,baseline
rho,999.991,100.1104859441671,0.24999999852291466,0.24999999995418934,0.25000000103649006,0.250000000486406,0.49999999847710397,2.5135754033733804e-09,1.8267816738249776,287.49741250000005,997.0
rho,1000.988,100.14726096268838,0.24999999865388195,0.2499999987335987,0.2500000007090581,0.25000000190346117,0.4999999973874807,3.2495792168241167e-09,1.8261108614128492,287.78405000000004,997.0
rho,1001.985,100.1840118427986,0.2500000024836641,0.24999999980508358,0.24999999827858982,0.24999999943266243,0.5000000022887476,4.2050742887767e-09,1.825440954292307,288.0706875,997.0
rho,1002.982,100.22073862418266,0.2500000017092274,0.24999999995140365,0.24999999869983466,0.24999999963953434,0.5000000016606311,3.0093927627650174e-09,1.824772010865405,288.35732499999995,997.0
rho,1003.979,100.25744134640915,0.24999999832110584,0.24999999854680913,0.2500000009064086,0.25000000222567637,0.49999999686791496,3.904570528012741e-09,1.8241040143470084,288.64396250000004,997.0
rho,1004.976,100.29412004896085,0.24999999971161754,0.25000000034636644,0.24999999800571424,0.2500000019363018,0.500000000057984,3.930587549882958e-09,1.8234369085812858,288.9306,997.0
rho,1005.9730000000001,100.33077477120602,0.2499999997289139,0.25000000035201053,0.249999998114071,0.25000000180500453,0.5000000000809244,3.6909335310308933e-09,1.8227707362506058,289.2172375,997.0
rho,1006.97,100.36740555240398,0.24999999951659238,0.2499999986702615,0.24999999895816485,0.2500000028549812,0.49999999818685387,4.184719709643403e-09,1.8221054868070368,289.503875,997.0
eta_p,0.51,106.1593137880128,0.2499999987193995,0.2500000024232597,0.25000000023495617,0.24999999862238464,0.5000000011426592,3.800875059134512e-09,1.722693887245484,337.22058823529403,0.6
eta_p,0.519,105.47986075850618,0.2500000019723753,0.24999999864427835,0.2499999996214717,0.24999999976187465,0.5000000006166536,3.3280969646831693e-09,1.7337906709591488,331.37283236994216,0.6
eta_p,0.528,104.81601762085012,0.25000000015023366,0.2499999992788658,0.25000000049818816,0.25000000007271245,0.49999999942909945,1.2193223652978702e-09,1.744771496200428,325.72443181818176,0.6
eta_p,0.537,104.16716946882373,0.2500000036715958,0.249999999602046,0.2499999975387897,0.24999999918756857,0.5000000032736418,6.132806096292853e-09,1.7556394999183362,320.2653631284916,0.6
eta_p,0.546,103.53273539955528,0.2499999990904945,0.2499999972435898,0.2500000033932891,0.25000000027262653,0.4999999963340843,6.149699305346701e-09,1.766397844696635,314.98626373626365,0.6
eta_p,0.5549999999999999,102.91216610970747,0.2500000014458976,0.24999999823533386,0.24999999974809903,0.2500000005706695,0.4999999996812315,3.2105637592927394e-09,1.7770493602023825,309.8783783783784,0.6
eta_p,0.564,102.30494169737435,0.24999999863268244,0.25000000074061524,0.25000000035260694,0.2500000002740953,0.49999999937329764,2.1079328005324527e-09,1.7875969426891698,304.93351063829783,0.6
eta_p,0.573,101.71056964918304,0.25000000170671677,0.2499999984597853,0.24999999973415826,0.25000000009933965,0.500000000166502,3.2469314736882637e-09,1.7980432061514018,300.1439790575916,0.6
eta_p,0.582,101.12858299435668,0.25000000041405507,0.25000000249889776,0.24999999578015092,0.25000000130689626,0.5000000029129528,6.718746836664735e-09,1.8083908058646068,295.5025773195876,0.6
eta_p,0.591,100.55853860949937,0.2499999997303424,0.24999999974231693,0.2499999985112659,0.2500000020160748,0.49999999947265933,3.5048089153111306e-09,1.8186421832107251,291.00253807106594,0.6
eta_p,0.6,100.00001565979855,0.2500000069993562,0.2500000031204067,0.24999999414098026,0.24999999573925683,0.5000000101197629,1.28583759473333e-08,1.828799662411968,286.6375,0.6
eta_p,0.609,99.45261416368915,0.25000000245697374,0.24999999981743196,0.24999999827717664,0.24999999944841764,0.5000000022744057,4.1797970917745175e-09,1.8388656722655097,282.4014778325123,0.6
eta_p,0.618,98.91595366965797,0.2500000001850862,0.250000003090228,0.2500000027150592,0.2499999940096267,0.5000000032753142,9.08060132642774e-09,1.8488423058160672,278.2888349514563,0.6
eta_p,0.627,98.38967203474161,0.2499999997567948,0.24999999851642585,0.250000000988869,0.2500000007379105,0.4999999982732206,2.4724431391121016e-09,1.8587316777855927,274.2942583732057,0.6
eta_p,0.636,97.87342429620739,0.2499999947647031,0.24999999733993022,0.2500000042547304,0.2500000036406364,0.4999999921046333,9.490027291780834e-09,1.8685358680845816,270.41273584905656,0.6
eta_p,0.645,97.36688162645035,0.2500000009012513,0.24999999985570562,0.2499999991314075,0.25000000011163553,0.5000000007569569,1.7698437992930138e-09,1.878256716101259,266.6395348837209,0.6
eta_p,0.6539999999999999,96.86973036652927,0.25,0.25,0.24999999999999997,0.24999999999999997,0.5,2.7755575615628914e-17,1.887896242799797,262.9701834862385,0.6
eta_p,0.663,96.3816711288569,0.2500000014636378,0.25000000016581114,0.24999999804328302,0.2500000003272681,0.500000001629449,3.4203548049394072e-09,1.8974561945996906,259.40045248868773,0.6
eta_p,0.6719999999999999,95.9024179647732,0.2500000000954609,0.2500000001930539,0.24999999995652158,0.24999999975496354,0.5000000002885148,4.380903695366811e-10,1.9069383630905299,255.92633928571428,0.6
eta_p,0.6809999999999999,95.43169759115037,0.24999999992055658,0.2499999999793931,0.2500000000234762,0.250000000076574,0.4999999998999497,1.5601744896009961e-10,1.9163444083496362,252.54405286343612,0.6
eta_p,0.69,94.96924867059826,0.25000000018160196,0.25000000104683934,0.2499999988229229,0.24999999994863598,0.5000000012284413,2.2239164398918376e-09,1.9256759680333533,249.25,0.6
eta_g,0.17,106.1593137880128,0.2499999987193995,0.2500000024232597,0.25000000023495617,0.24999999862238464,0.5000000011426592,3.800875059134512e-09,1.722693887245484,337.22058823529403,0.2
eta_g,0.17300000000000001,105.47986075850618,0.2500000019723753,0.24999999864427835,0.2499999996214717,0.24999999976187465,0.5000000006166536,3.3280969646831693e-09,1.7337906709591488,331.37283236994216,0.2
eta_g,0.17600000000000002,104.81601762085012,0.25000000015023366,0.2499999992788658,0.25000000049818816,0.25000000007271245,0.49999999942909945,1.2193223652978702e-09,1.744771496200428,325.72443181818176,0.2
eta_g,0.179,104.16716946882373,0.2500000036715958,0.249999999602046,0.2499999975387897,0.24999999918756857,0.5000000032736418,6.132806096292853e-09,1.7556394999183362,320.2653631284916,0.2
eta_g,0.182,103.53273539955191,0.2500000010935117,0.24999999979854837,0.24999999998060482,0.24999999912733506,0.5000000008920601,1.9661766659240243e-09,1.7663978305441912,314.9862637362637,0.2
eta_g,0.185,102.9121661097033,0.2500000017156766,0.24999999956766453,0.24999999990613933,0.24999999881051965,0.5000000012833411,2.9051569483407036e-09,1.7770493582848121,309.87837837837833,0.2
eta_g,0.188,102.30494169737435,0.24999999863268244,0.25000000074061524,0.25000000035260694,0.2500000002740953,0.49999999937329764,2.1079328005324527e-09,1.7875969426891698,304.93351063829783,0.2
eta_g,0.191,101.71056964918304,0.25000000170671677,0.2499999984597853,0.24999999973415826,0.25000000009933965,0.500000000166502,3.2469314736882637e-09,1.7980432061514018,300.1439790575916,0.2
eta_g,0.194,101.12858299435668,0.25000000041405507,0.25000000249889776,0.24999999578015092,0.25000000130689626,0.5000000029129528,6.718746836664735e-09,1.8083908058646068,295.5025773195876,0.2
eta_g,0.197,100.55853860949937,0.2499999997303424,0.24999999974231693,0.2499999985112659,0.2500000020160748,0.49999999947265933,3.5048089153111306e-09,1.8186421832107251,291.00253807106594,0.2
eta_g,0.2,100.00001565979855,0.2500000069993562,0.2500000031204067,0.24999999414098026,0.24999999573925683,0.5000000101197629,1.28583759473333e-08,1.828799662411968,286.6375,0.2
eta_g,0.20299999999999999,99.45261416368915,0.25000000245697374,0.24999999981743196,0.24999999827717664,0.24999999944841764,0.5000000022744057,4.1797970917745175e-09,1.8388656722655097,282.4014778325123,0.2
eta_g,0.206,98.91595366965797,0.2500000001850862,0.250000003090228,0.2500000027150592,0.2499999940096267,0.5000000032753142,9.08060132642774e-09,1.8488423058160672,278.2888349514563,0.2
eta_g,0.209,98.38967203462394,0.2499999997877603,0.2499999986993615,0.2500000008666703,0.250000000646208,0.4999999984871218,2.1673088046458844e-09,1.858731677557589,274.29425837320576,0.2
eta_g,0.212,97.87342429620966,0.2500000011180042,0.25000000023025504,0.24999999843624202,0.2500000002154988,0.5000000013482593,2.68176217343985e-09,1.8685358205990545,270.4127358490566,0.2
eta_g,0.215,97.36688162645035,0.2500000009012513,0.24999999985570562,0.2499999991314075,0.25000000011163553,0.5000000007569569,1.7698437992930138e-09,1.878256716101259,266.6395348837209,0.2
eta_g,0.21799999999999997,96.86973036648138,0.25000000180625914,0.24999999991451682,0.24999999886125432,0.2499999994179697,0.500000001720776,2.945004823340369e-09,1.887896229160611,262.97018348623857,0.2
eta_g,0.22099999999999997,96.38167112885698,0.2500000014636378,0.2500000001658111,0.24999999804328302,0.2500000003272681,0.5000000016294489,3.4203548049394072e-09,1.8974561945996886,259.4004524886878,0.2
eta_g,0.22399999999999998,95.9024179647732,0.2500000000954609,0.2500000001930539,0.24999999995652158,0.24999999975496354,0.5000000002885148,4.380903695366811e-10,1.9069383630905299,255.92633928571428,0.2
eta_g,0.22699999999999998,95.43169759115037,0.24999999992055658,0.2499999999793931,0.2500000000234762,0.250000000076574,0.4999999998999497,1.5601744896009961e-10,1.9163444083496362,252.54405286343612,0.2
eta_g,0.22999999999999998,94.96924867059826,0.25000000018160196,0.25000000104683934,0.2499999988229229,0.24999999994863598,0.5000000012284413,2.2239164398918376e-09,1.9256759680333533,249.25,0.2
tau,0.0,100.00001565979855,0.2500000069993562,0.2500000031204067,0.24999999414098026,0.24999999573925683,0.5000000101197629,1.28583759473333e-08,1.828799662411968,286.6375,0.0
tau,2.0,100.52869231957447,0.2500000000634324,0.2499999991526624,0.24999999957729535,0.25000000120660987,0.49999999921609484,2.053947456559513e-09,1.8191821233706464,286.6375,0.0
tau,4.0,101.0635638780967,0.24999999966101735,0.24999999965919378,0.24999999834817202,0.2500000023316169,0.4999999993202111,3.983444879507303e-09,1.8095542372576847,286.6375,0.0
